pathway	pathway	pval	padj
OSSIFICATION%GOBP%GO:0001503	OSSIFICATION%GOBP%GO:0001503	0.857784431137725	0.929676566049741
OSTEOBLAST DIFFERENTIATION AND RELATED DISEASES%WIKIPATHWAYS_20220510%WP4787%HOMO SAPIENS	OSTEOBLAST DIFFERENTIATION AND RELATED DISEASES%WIKIPATHWAYS_20220510%WP4787%HOMO SAPIENS	0.137715179968701	0.28068160115042
OSTEOBLAST DIFFERENTIATION%GOBP%GO:0001649	OSTEOBLAST DIFFERENTIATION%GOBP%GO:0001649	0.0472865756813641	0.138824440091572
OSTEOCLAST DIFFERENTIATION%GOBP%GO:0030316	OSTEOCLAST DIFFERENTIATION%GOBP%GO:0030316	0.743944636678201	0.859371383604129
OSTEOPONTIN-MEDIATED EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%OSTEOPONTIN-MEDIATED EVENTS	OSTEOPONTIN-MEDIATED EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%OSTEOPONTIN-MEDIATED EVENTS	0.133898305084746	0.276121564116384
OVARIAN TUMOR DOMAIN PROTEASES%REACTOME DATABASE ID RELEASE 80%5689896	OVARIAN TUMOR DOMAIN PROTEASES%REACTOME DATABASE ID RELEASE 80%5689896	0.617079889807163	0.766498605263614
OVERLAP BETWEEN SIGNAL TRANSDUCTION PATHWAYS CONTRIBUTING TO LMNA LAMINOPATHIES%WIKIPATHWAYS_20220510%WP4879%HOMO SAPIENS	OVERLAP BETWEEN SIGNAL TRANSDUCTION PATHWAYS CONTRIBUTING TO LMNA LAMINOPATHIES%WIKIPATHWAYS_20220510%WP4879%HOMO SAPIENS	0.0341122550495524	0.114910658410747
OXIDATIVE DAMAGE RESPONSE%WIKIPATHWAYS_20220510%WP3941%HOMO SAPIENS	OXIDATIVE DAMAGE RESPONSE%WIKIPATHWAYS_20220510%WP3941%HOMO SAPIENS	0.876271186440678	0.94476384741557
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	7.89598998067501e-08	3.39683925406266e-06
OXIDATIVE PHOSPHORYLATION%WIKIPATHWAYS_20220510%WP623%HOMO SAPIENS	OXIDATIVE PHOSPHORYLATION%WIKIPATHWAYS_20220510%WP623%HOMO SAPIENS	0.00145625614646762	0.0113394855849495
OXIDATIVE STRESS INDUCED SENESCENCE%REACTOME%R-HSA-2559580.4	OXIDATIVE STRESS INDUCED SENESCENCE%REACTOME%R-HSA-2559580.4	0.251524390243902	0.418244728515023
OXIDATIVE STRESS RESPONSE%PANTHER PATHWAY%P00046	OXIDATIVE STRESS RESPONSE%PANTHER PATHWAY%P00046	0.0436572031969939	0.131668201261087
OXOACID METABOLIC PROCESS%GOBP%GO:0043436	OXOACID METABOLIC PROCESS%GOBP%GO:0043436	0.997750281214848	1
OXYGEN-DEPENDENT PROLINE HYDROXYLATION OF HYPOXIA-INDUCIBLE FACTOR ALPHA%REACTOME%R-HSA-1234176.2	OXYGEN-DEPENDENT PROLINE HYDROXYLATION OF HYPOXIA-INDUCIBLE FACTOR ALPHA%REACTOME%R-HSA-1234176.2	1.00502872190276e-05	0.000219439688274748
OXYTOCIN RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04391	OXYTOCIN RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04391	0.000602389231106289	0.00578384828363577
P38 MAPK PATHWAY%PANTHER PATHWAY%P05918	P38 MAPK PATHWAY%PANTHER PATHWAY%P05918	0.0847457627118644	0.203951245716789
P38 MAPK SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P38 MAPK SIGNALING PATHWAY	P38 MAPK SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P38 MAPK SIGNALING PATHWAY	0.110169491525424	0.241030433372591
P38 MAPK SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP400%HOMO SAPIENS	P38 MAPK SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP400%HOMO SAPIENS	0.0111289152199148	0.0518885608653877
P38 SIGNALING MEDIATED BY MAPKAP KINASES%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P38 SIGNALING MEDIATED BY MAPKAP KINASES	P38 SIGNALING MEDIATED BY MAPKAP KINASES%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P38 SIGNALING MEDIATED BY MAPKAP KINASES	0.00773781486001235	0.0396939853208426
P53 PATHWAY BY GLUCOSE DEPRIVATION%PANTHER PATHWAY%P04397	P53 PATHWAY BY GLUCOSE DEPRIVATION%PANTHER PATHWAY%P04397	0.197255574614065	0.353433896210873
P53 PATHWAY FEEDBACK LOOPS 2%PANTHER PATHWAY%P04398	P53 PATHWAY FEEDBACK LOOPS 2%PANTHER PATHWAY%P04398	0.258970358814353	0.427515030040883
P53 PATHWAY%PANTHER PATHWAY%P00059	P53 PATHWAY%PANTHER PATHWAY%P00059	0.844827586206897	0.91974695056924
P53 PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P53 PATHWAY	P53 PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P53 PATHWAY	0.519877675840979	0.693968817674056
P53 TRANSCRIPTIONAL GENE NETWORK%WIKIPATHWAYS_20220510%WP4963%HOMO SAPIENS	P53 TRANSCRIPTIONAL GENE NETWORK%WIKIPATHWAYS_20220510%WP4963%HOMO SAPIENS	0.780635400907716	0.881231700946746
P53-DEPENDENT G1 DNA DAMAGE RESPONSE%REACTOME%R-HSA-69563.3	P53-DEPENDENT G1 DNA DAMAGE RESPONSE%REACTOME%R-HSA-69563.3	1.828119237768e-06	5.44053293705614e-05
P53-DEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME%R-HSA-69580.3	P53-DEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME%R-HSA-69580.3	1.828119237768e-06	5.44053293705614e-05
P53-INDEPENDENT DNA DAMAGE RESPONSE%REACTOME%R-HSA-69610.4	P53-INDEPENDENT DNA DAMAGE RESPONSE%REACTOME%R-HSA-69610.4	9.44012451405502e-06	0.000208209852860757
P53-INDEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME%R-HSA-69613.2	P53-INDEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME%R-HSA-69613.2	9.44012451405502e-06	0.000208209852860757
P73 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P73 TRANSCRIPTION FACTOR NETWORK	P73 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P73 TRANSCRIPTION FACTOR NETWORK	0.891768292682927	0.950677238018545
P75 NTR RECEPTOR-MEDIATED SIGNALLING%REACTOME DATABASE ID RELEASE 80%193704	P75 NTR RECEPTOR-MEDIATED SIGNALLING%REACTOME DATABASE ID RELEASE 80%193704	0.718972895863053	0.842031599063333
P75(NTR)-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P75(NTR)-MEDIATED SIGNALING	P75(NTR)-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P75(NTR)-MEDIATED SIGNALING	0.000596340823451723	0.00577082600868092
PALLIUM DEVELOPMENT%GOBP%GO:0021543	PALLIUM DEVELOPMENT%GOBP%GO:0021543	0.727848101265823	0.847400857449089
PANCREATIC ADENOCARCINOMA PATHWAY%WIKIPATHWAYS_20220510%WP4263%HOMO SAPIENS	PANCREATIC ADENOCARCINOMA PATHWAY%WIKIPATHWAYS_20220510%WP4263%HOMO SAPIENS	0.00149953577962386	0.0115933860542094
PAR1-MEDIATED THROMBIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PAR1-MEDIATED THROMBIN SIGNALING EVENTS	PAR1-MEDIATED THROMBIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PAR1-MEDIATED THROMBIN SIGNALING EVENTS	4.20015903577499e-07	1.43698354412932e-05
PARADOXICAL ACTIVATION OF RAF SIGNALING BY KINASE INACTIVE BRAF%REACTOME DATABASE ID RELEASE 80%6802955	PARADOXICAL ACTIVATION OF RAF SIGNALING BY KINASE INACTIVE BRAF%REACTOME DATABASE ID RELEASE 80%6802955	0.00333783077147187	0.0209141172889374
PARASITE INFECTION%REACTOME%R-HSA-9664407.1	PARASITE INFECTION%REACTOME%R-HSA-9664407.1	0.0775988286969253	0.192403493817183
PARKIN-UBIQUITIN PROTEASOMAL SYSTEM PATHWAY%WIKIPATHWAYS_20220510%WP2359%HOMO SAPIENS	PARKIN-UBIQUITIN PROTEASOMAL SYSTEM PATHWAY%WIKIPATHWAYS_20220510%WP2359%HOMO SAPIENS	0.108150470219436	0.238385733171004
PARKINSON DISEASE%PANTHER PATHWAY%P00049	PARKINSON DISEASE%PANTHER PATHWAY%P00049	0.603361344537815	0.754282986318313
PARKINSON'S DISEASE PATHWAY%WIKIPATHWAYS_20220510%WP2371%HOMO SAPIENS	PARKINSON'S DISEASE PATHWAY%WIKIPATHWAYS_20220510%WP2371%HOMO SAPIENS	0.0521008403361345	0.14776641727187
PATHOGENIC ESCHERICHIA COLI INFECTION%WIKIPATHWAYS_20220510%WP2272%HOMO SAPIENS	PATHOGENIC ESCHERICHIA COLI INFECTION%WIKIPATHWAYS_20220510%WP2272%HOMO SAPIENS	0.0920634920634921	0.21604047651439
PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA%WIKIPATHWAYS_20220510%WP3651%HOMO SAPIENS	PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA%WIKIPATHWAYS_20220510%WP3651%HOMO SAPIENS	0.578947368421053	0.739425724805842
PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002221	PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002221	0.86875	0.938215978519129
PATTERN SPECIFICATION PROCESS%GOBP%GO:0007389	PATTERN SPECIFICATION PROCESS%GOBP%GO:0007389	0.105182926829268	0.233889363906433
PAUSING AND RECOVERY OF HIV ELONGATION%REACTOME%R-HSA-167290.2	PAUSING AND RECOVERY OF HIV ELONGATION%REACTOME%R-HSA-167290.2	0.584022038567493	0.742198232692529
PAUSING AND RECOVERY OF TAT-MEDIATED HIV ELONGATION%REACTOME%R-HSA-167238.2	PAUSING AND RECOVERY OF TAT-MEDIATED HIV ELONGATION%REACTOME%R-HSA-167238.2	0.733509234828496	0.850163574920139
PCNA-DEPENDENT LONG PATCH BASE EXCISION REPAIR%REACTOME%R-HSA-5651801.1	PCNA-DEPENDENT LONG PATCH BASE EXCISION REPAIR%REACTOME%R-HSA-5651801.1	0.0627936958516959	0.167475026499213
PCP CE PATHWAY%REACTOME DATABASE ID RELEASE 80%4086400	PCP CE PATHWAY%REACTOME DATABASE ID RELEASE 80%4086400	0.0337743408617316	0.114379977431196
PD-1 SIGNALING%REACTOME%R-HSA-389948.2	PD-1 SIGNALING%REACTOME%R-HSA-389948.2	0.0125523409007813	0.0569487181703467
PDGF PATHWAY%WIKIPATHWAYS_20220510%WP2526%HOMO SAPIENS	PDGF PATHWAY%WIKIPATHWAYS_20220510%WP2526%HOMO SAPIENS	0.00338526643134356	0.0211032749557931
PDGF SIGNALING PATHWAY%PANTHER PATHWAY%P00047	PDGF SIGNALING PATHWAY%PANTHER PATHWAY%P00047	0.00172362223070688	0.0128088628391439
PDGFR-ALPHA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PDGFR-ALPHA SIGNALING PATHWAY	PDGFR-ALPHA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PDGFR-ALPHA SIGNALING PATHWAY	0.0413582167435474	0.129003195800943
PDGFR-BETA PATHWAY%WIKIPATHWAYS_20220510%WP3972%HOMO SAPIENS	PDGFR-BETA PATHWAY%WIKIPATHWAYS_20220510%WP3972%HOMO SAPIENS	0.00220182650754174	0.0153809263267988
PDGFR-BETA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PDGFR-BETA SIGNALING PATHWAY	PDGFR-BETA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PDGFR-BETA SIGNALING PATHWAY	6.35288584501015e-10	3.88778718261537e-08
PEPTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0043043	PEPTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0043043	7.69948986809389e-33	7.43428521708176e-31
PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.2	PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.2	6.92186002282084e-35	7.71166199978373e-33
PEPTIDE HORMONE METABOLISM%REACTOME%R-HSA-2980736.3	PEPTIDE HORMONE METABOLISM%REACTOME%R-HSA-2980736.3	0.617784711388456	0.766935591709383
PEPTIDE LIGAND-BINDING RECEPTORS%REACTOME%R-HSA-375276.6	PEPTIDE LIGAND-BINDING RECEPTORS%REACTOME%R-HSA-375276.6	0.484745762711864	0.66193125201208
PEPTIDE METABOLIC PROCESS%GOBP%GO:0006518	PEPTIDE METABOLIC PROCESS%GOBP%GO:0006518	8.76287038766529e-25	7.46562192831484e-23
PEPTIDE TRANSPORT%GOBP%GO:0015833	PEPTIDE TRANSPORT%GOBP%GO:0015833	0.315254237288136	0.496476861550181
PEPTIDYL-AMINO ACID MODIFICATION%GOBP%GO:0018193	PEPTIDYL-AMINO ACID MODIFICATION%GOBP%GO:0018193	0.0454054054054054	0.135220347146324
PEPTIDYL-ASPARAGINE MODIFICATION%GOBP%GO:0018196	PEPTIDYL-ASPARAGINE MODIFICATION%GOBP%GO:0018196	0.771186440677966	0.876256559818453
PEPTIDYL-CYSTEINE MODIFICATION%GOBP%GO:0018198	PEPTIDYL-CYSTEINE MODIFICATION%GOBP%GO:0018198	0.356775300171527	0.541078073035003
PEPTIDYL-LYSINE ACETYLATION%GOBP%GO:0018394	PEPTIDYL-LYSINE ACETYLATION%GOBP%GO:0018394	0.421052631578947	0.60299066717552
PEPTIDYL-LYSINE METHYLATION%GOBP%GO:0018022	PEPTIDYL-LYSINE METHYLATION%GOBP%GO:0018022	0.744868035190616	0.860072179883929
PEPTIDYL-LYSINE MODIFICATION%GOBP%GO:0018205	PEPTIDYL-LYSINE MODIFICATION%GOBP%GO:0018205	0.216494845360825	0.377173257054043
PEPTIDYL-LYSINE TRIMETHYLATION%GOBP%GO:0018023	PEPTIDYL-LYSINE TRIMETHYLATION%GOBP%GO:0018023	0.946731234866828	0.981613614687649
PEPTIDYL-PROLINE MODIFICATION%GOBP%GO:0018208	PEPTIDYL-PROLINE MODIFICATION%GOBP%GO:0018208	0.498771498771499	0.675549302419627
PEPTIDYL-SERINE MODIFICATION%GOBP%GO:0018209	PEPTIDYL-SERINE MODIFICATION%GOBP%GO:0018209	0.00181147045816894	0.0133013793558779
PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0018105	PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0018105	0.000735118852084272	0.00671027607627345
PEPTIDYL-THREONINE MODIFICATION%GOBP%GO:0018210	PEPTIDYL-THREONINE MODIFICATION%GOBP%GO:0018210	0.000175248818396269	0.00219665841319592
PEPTIDYL-THREONINE PHOSPHORYLATION%GOBP%GO:0018107	PEPTIDYL-THREONINE PHOSPHORYLATION%GOBP%GO:0018107	0.000403704316412432	0.00430259015195211
PEPTIDYL-TYROSINE DEPHOSPHORYLATION%GOBP%GO:0035335	PEPTIDYL-TYROSINE DEPHOSPHORYLATION%GOBP%GO:0035335	0.288659793814433	0.46332722723447
PEPTIDYL-TYROSINE MODIFICATION%GOBP%GO:0018212	PEPTIDYL-TYROSINE MODIFICATION%GOBP%GO:0018212	0.0205087642466	0.0806430594131014
PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0018108	PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0018108	0.0609153354863712	0.165526662093986
PERK REGULATES GENE EXPRESSION%REACTOME DATABASE ID RELEASE 80%381042	PERK REGULATES GENE EXPRESSION%REACTOME DATABASE ID RELEASE 80%381042	0.0108819986666617	0.0511671329294198
PEROXISOMAL PROTEIN IMPORT%REACTOME%R-HSA-9033241.3	PEROXISOMAL PROTEIN IMPORT%REACTOME%R-HSA-9033241.3	0.365384615384615	0.550479670063726
PEROXISOME ORGANIZATION%GOBP%GO:0007031	PEROXISOME ORGANIZATION%GOBP%GO:0007031	0.421307506053269	0.603156874399161
PHAGOCYTOSIS%GOBP%GO:0006909	PHAGOCYTOSIS%GOBP%GO:0006909	0.0899182561307902	0.212680905219534
PHAGOCYTOSIS, ENGULFMENT%GOBP%GO:0006911	PHAGOCYTOSIS, ENGULFMENT%GOBP%GO:0006911	0.484931506849315	0.661962738693143
PHASE I - FUNCTIONALIZATION OF COMPOUNDS%REACTOME DATABASE ID RELEASE 80%211945	PHASE I - FUNCTIONALIZATION OF COMPOUNDS%REACTOME DATABASE ID RELEASE 80%211945	0.348039215686274	0.529863487090702
PHASE II - CONJUGATION OF COMPOUNDS%REACTOME DATABASE ID RELEASE 80%156580	PHASE II - CONJUGATION OF COMPOUNDS%REACTOME DATABASE ID RELEASE 80%156580	0.667170953101362	0.803898444599394
PHENYTOIN (ANTIARRHYTHMIC) ACTION PATHWAY%PATHWHIZ%PW000380	PHENYTOIN (ANTIARRHYTHMIC) ACTION PATHWAY%PATHWHIZ%PW000380	0.855481727574751	0.927875213757437
PHOSPHATIDIC ACID BIOSYNTHETIC PROCESS%GOBP%GO:0006654	PHOSPHATIDIC ACID BIOSYNTHETIC PROCESS%GOBP%GO:0006654	0.13745704467354	0.280487089201878
PHOSPHATIDIC ACID METABOLIC PROCESS%GOBP%GO:0046473	PHOSPHATIDIC ACID METABOLIC PROCESS%GOBP%GO:0046473	0.13745704467354	0.280487089201878
PHOSPHATIDYLCHOLINE METABOLIC PROCESS%GOBP%GO:0046470	PHOSPHATIDYLCHOLINE METABOLIC PROCESS%GOBP%GO:0046470	0.0421875	0.130577204335544
PHOSPHATIDYLINOSITOL 3-KINASE SIGNALING%GOBP%GO:0014065	PHOSPHATIDYLINOSITOL 3-KINASE SIGNALING%GOBP%GO:0014065	0.715254237288136	0.839033385803712
PHOSPHATIDYLINOSITOL BIOSYNTHETIC PROCESS%GOBP%GO:0006661	PHOSPHATIDYLINOSITOL BIOSYNTHETIC PROCESS%GOBP%GO:0006661	0.0168411635303013	0.0698900243927019
PHOSPHATIDYLINOSITOL DEPHOSPHORYLATION%GOBP%GO:0046856	PHOSPHATIDYLINOSITOL DEPHOSPHORYLATION%GOBP%GO:0046856	0.13573883161512	0.278463278266146
PHOSPHATIDYLINOSITOL METABOLIC PROCESS%GOBP%GO:0046488	PHOSPHATIDYLINOSITOL METABOLIC PROCESS%GOBP%GO:0046488	0.00800767712938395	0.0406177779213303
PHOSPHATIDYLINOSITOL PHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0046854	PHOSPHATIDYLINOSITOL PHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0046854	0.144427001569859	0.289854652111333
PHOSPHATIDYLINOSITOL PHOSPHATE METABOLISM%SMPDB%SMP0000463	PHOSPHATIDYLINOSITOL PHOSPHATE METABOLISM%SMPDB%SMP0000463	0.212692967409949	0.372791828719736
PHOSPHATIDYLINOSITOL-MEDIATED SIGNALING%GOBP%GO:0048015	PHOSPHATIDYLINOSITOL-MEDIATED SIGNALING%GOBP%GO:0048015	0.572093023255814	0.735787612038257
PHOSPHOINOSITIDES METABOLISM%WIKIPATHWAYS_20220510%WP4971%HOMO SAPIENS	PHOSPHOINOSITIDES METABOLISM%WIKIPATHWAYS_20220510%WP4971%HOMO SAPIENS	0.0735524256651017	0.186130046310348
PHOSPHOLIPID BIOSYNTHESIS%SMPDB%SMP0000025	PHOSPHOLIPID BIOSYNTHESIS%SMPDB%SMP0000025	0.0095942867704977	0.0462163813944706
PHOSPHOLIPID BIOSYNTHETIC PROCESS%GOBP%GO:0008654	PHOSPHOLIPID BIOSYNTHETIC PROCESS%GOBP%GO:0008654	0.00178818677618733	0.0131689348178542
PHOSPHOLIPID CATABOLIC PROCESS%GOBP%GO:0009395	PHOSPHOLIPID CATABOLIC PROCESS%GOBP%GO:0009395	0.0996563573883162	0.226037451624796
PHOSPHOLIPID DEPHOSPHORYLATION%GOBP%GO:0046839	PHOSPHOLIPID DEPHOSPHORYLATION%GOBP%GO:0046839	0.186757215619694	0.344130662369623
PHOSPHOLIPID METABOLIC PROCESS%GOBP%GO:0006644	PHOSPHOLIPID METABOLIC PROCESS%GOBP%GO:0006644	0.000488327142370225	0.00498022660563694
PHOSPHOLIPID METABOLISM%REACTOME%R-HSA-1483257.3	PHOSPHOLIPID METABOLISM%REACTOME%R-HSA-1483257.3	1.08580951888928e-06	3.44368055443353e-05
PHOSPHOLIPID TRANSLOCATION%GOBP%GO:0045332	PHOSPHOLIPID TRANSLOCATION%GOBP%GO:0045332	0.854202401372213	0.926718959790828
PHOSPHOLIPID TRANSPORT%GOBP%GO:0015914	PHOSPHOLIPID TRANSPORT%GOBP%GO:0015914	0.257410296411856	0.425905847106034
PHOSPHORYLATION OF CD3 AND TCR ZETA CHAINS%REACTOME DATABASE ID RELEASE 80%202427	PHOSPHORYLATION OF CD3 AND TCR ZETA CHAINS%REACTOME DATABASE ID RELEASE 80%202427	0.00340826254629081	0.021185838002337
PHOSPHORYLATION OF THE APC C%REACTOME DATABASE ID RELEASE 80%176412	PHOSPHORYLATION OF THE APC C%REACTOME DATABASE ID RELEASE 80%176412	0.140811455847255	0.284638060923682
PHOSPHORYLATION%GOBP%GO:0016310	PHOSPHORYLATION%GOBP%GO:0016310	3.62533820389966e-11	2.31648448469765e-09
PHOTODYNAMIC THERAPY-INDUCED AP-1 SURVIVAL SIGNALING%WIKIPATHWAYS_20220510%WP3611%HOMO SAPIENS	PHOTODYNAMIC THERAPY-INDUCED AP-1 SURVIVAL SIGNALING%WIKIPATHWAYS_20220510%WP3611%HOMO SAPIENS	0.330508474576271	0.511599330970395
PHOTODYNAMIC THERAPY-INDUCED HIF-1 SURVIVAL SIGNALING%WIKIPATHWAYS_20220510%WP3614%HOMO SAPIENS	PHOTODYNAMIC THERAPY-INDUCED HIF-1 SURVIVAL SIGNALING%WIKIPATHWAYS_20220510%WP3614%HOMO SAPIENS	0.0549828178694158	0.153043141346965
PHOTOPERIODISM%GOBP%GO:0009648	PHOTOPERIODISM%GOBP%GO:0009648	0.70242214532872	0.828453914618156
PHYSICO-CHEMICAL FEATURES AND TOXICITY-ASSOCIATED PATHWAYS%WIKIPATHWAYS_20220510%WP3680%HOMO SAPIENS	PHYSICO-CHEMICAL FEATURES AND TOXICITY-ASSOCIATED PATHWAYS%WIKIPATHWAYS_20220510%WP3680%HOMO SAPIENS	0.0048897982918046	0.0277727759188118
PI METABOLISM%REACTOME%R-HSA-1483255.5	PI METABOLISM%REACTOME%R-HSA-1483255.5	0.00371437202220414	0.0228596975020921
PI3 KINASE PATHWAY%PANTHER PATHWAY%P00048	PI3 KINASE PATHWAY%PANTHER PATHWAY%P00048	0.000106577943706204	0.0014794925412251
PI3K AKT SIGNALING IN CANCER%REACTOME%R-HSA-2219528.2	PI3K AKT SIGNALING IN CANCER%REACTOME%R-HSA-2219528.2	0.0174466084300594	0.0715146354986868
PI3K AKT SIGNALING%REACTOME%R-HSA-1257604.10	PI3K AKT SIGNALING%REACTOME%R-HSA-1257604.10	0.173267326732673	0.325766566271512
PI3K-AKT SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP4172%HOMO SAPIENS	PI3K-AKT SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP4172%HOMO SAPIENS	0.00992893474022867	0.0475647424986698
PI3K-AKT-MTOR SIGNALING PATHWAY AND THERAPEUTIC OPPORTUNITIES%WIKIPATHWAYS_20220510%WP3844%HOMO SAPIENS	PI3K-AKT-MTOR SIGNALING PATHWAY AND THERAPEUTIC OPPORTUNITIES%WIKIPATHWAYS_20220510%WP3844%HOMO SAPIENS	0.202360876897133	0.359429596016873
PI5P, PP2A AND IER3 REGULATE PI3K AKT SIGNALING%REACTOME DATABASE ID RELEASE 80%6811558	PI5P, PP2A AND IER3 REGULATE PI3K AKT SIGNALING%REACTOME DATABASE ID RELEASE 80%6811558	0.00586161518648834	0.0322540410201198
PID_A6B1_A6B4_INTEGRIN_PATHWAY%MSIGDB_C2%PID_A6B1_A6B4_INTEGRIN_PATHWAY	PID_A6B1_A6B4_INTEGRIN_PATHWAY%MSIGDB_C2%PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.0616797349987045	0.166458663707684
PID_AJDISS_2PATHWAY%MSIGDB_C2%PID_AJDISS_2PATHWAY	PID_AJDISS_2PATHWAY%MSIGDB_C2%PID_AJDISS_2PATHWAY	0.0167453153962873	0.0695586954080959
PID_ALPHA_SYNUCLEIN_PATHWAY%MSIGDB_C2%PID_ALPHA_SYNUCLEIN_PATHWAY	PID_ALPHA_SYNUCLEIN_PATHWAY%MSIGDB_C2%PID_ALPHA_SYNUCLEIN_PATHWAY	0.00484018205438877	0.0275269516051299
PID_AMB2_NEUTROPHILS_PATHWAY%MSIGDB_C2%PID_AMB2_NEUTROPHILS_PATHWAY	PID_AMB2_NEUTROPHILS_PATHWAY%MSIGDB_C2%PID_AMB2_NEUTROPHILS_PATHWAY	0.084192439862543	0.203118351583981
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY%MSIGDB_C2%PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	PID_ANGIOPOIETIN_RECEPTOR_PATHWAY%MSIGDB_C2%PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	0.000292669609583639	0.0033376626079814
PID_AP1_PATHWAY%MSIGDB_C2%PID_AP1_PATHWAY	PID_AP1_PATHWAY%MSIGDB_C2%PID_AP1_PATHWAY	0.240506329113924	0.405667701863354
PID_ARF6_PATHWAY%MSIGDB_C2%PID_ARF6_PATHWAY	PID_ARF6_PATHWAY%MSIGDB_C2%PID_ARF6_PATHWAY	0.0244599926686395	0.0916979377653448
PID_ARF6_TRAFFICKING_PATHWAY%MSIGDB_C2%PID_ARF6_TRAFFICKING_PATHWAY	PID_ARF6_TRAFFICKING_PATHWAY%MSIGDB_C2%PID_ARF6_TRAFFICKING_PATHWAY	0.149579831932773	0.29665452890305
PID_AR_NONGENOMIC_PATHWAY%MSIGDB_C2%PID_AR_NONGENOMIC_PATHWAY	PID_AR_NONGENOMIC_PATHWAY%MSIGDB_C2%PID_AR_NONGENOMIC_PATHWAY	0.00230719826831202	0.0158619880946452
PID_AR_PATHWAY%MSIGDB_C2%PID_AR_PATHWAY	PID_AR_PATHWAY%MSIGDB_C2%PID_AR_PATHWAY	0.428571428571429	0.609262589928058
PID_AR_TF_PATHWAY%MSIGDB_C2%PID_AR_TF_PATHWAY	PID_AR_TF_PATHWAY%MSIGDB_C2%PID_AR_TF_PATHWAY	0.0204222088439362	0.0805212368192023
PID_ATF2_PATHWAY%MSIGDB_C2%PID_ATF2_PATHWAY	PID_ATF2_PATHWAY%MSIGDB_C2%PID_ATF2_PATHWAY	0.39327731092437	0.577680278996513
PID_ATM_PATHWAY%MSIGDB_C2%PID_ATM_PATHWAY	PID_ATM_PATHWAY%MSIGDB_C2%PID_ATM_PATHWAY	0.961214165261383	0.988759630593398
